Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Dr. Pankaj Gosomi (Pandit),RPI,0,10th Pass,37,130000,Durg,0,0,M,1L-10L
Pradeep Choubey,INC,0,Graduate Professional,55,17892559,Durg,0,0,M,>1Cr
Raghunandan Sahu,BSP,0,12th Pass,34,4019000,Durg,400000,0,M,10L-1Cr
Kamaladevi Patale,BJP,0,12th Pass,43,3556426,Janjgir-Champa,80000,1,F,10L-1Cr
B R Chauhan,RPI(A),0,Null,59,0,Janjgir-Champa,0,0,M,
Dauram Ratnakar,BSP,0,Post Graduate,51,7198100,Janjgir-Champa,1235116,0,M,10L-1Cr
Neelkanth Ware,CSP,0,10th Pass,59,375000,Janjgir-Champa,0,0,M,1L-10L
Prem Shankar Mahilange,LJP,0,12th Pass,39,550000,Janjgir-Champa,0,0,M,1L-10L
Sanjeev Kumar Khare,CGVP,0,8th Pass,26,80500,Janjgir-Champa,90000,0,M,<1L
Sohan Potai,BJP,0,Post Graduate,49,8261296,Kanker,0,1,M,10L-1Cr
Bhom Lal,AD,0,5th Pass,59,50000,Kanker,0,0,M,<1L
G R Rana,JMM,0,Post Graduate,62,1939199,Kanker,0,0,M,10L-1Cr
Jalsingh Sori,CSP,0,12th Pass,30,6500,Kanker,25000,0,M,<1L
Mayaram Nagwanshi,GGP,0,12th Pass,48,413500,Kanker,45000,0,M,1L-10L
Mira Salam,BSP,0,12th Pass,32,562000,Kanker,0,0,F,1L-10L
N R Bhuarya,GMS,0,Graduate,50,6419,Kanker,125000,0,M,<1L
Smt Phoolo Devi Netam,INC,0,8th Pass,35,3454127,Kanker,1013494,0,F,10L-1Cr
Charandas Mahant,INC,0,Doctorate,54,42704354,Korba,1643424,1,M,>1Cr
Budhwarsingh Ueke,RGOP,0,Null,34,0,Korba,0,0,M,
Chaitidevi Mahant,CSP,0,Literate,49,136000,Korba,0,0,F,1L-10L
Dr.Vipin Sinha,CGVP,0,Graduate Professional,40,10000,Korba,0,0,M,<1L
Heera Singh Markam,GGP,3,Post Graduate,74,827089,Korba,0,0,M,1L-10L
Karuna Shukla,BJP,0,Post Graduate,59,7200288,Korba,760000,0,F,10L-1Cr
Kedarnath Rajwade,JMM,0,12th Pass,28,30000,Korba,0,0,M,<1L
Sangeeta Nirmalkar,BHPD,0,12th Pass,32,325000,Korba,0,0,F,1L-10L
Viay Laxmi Sharma,BSP,0,Post Graduate,41,245900,Korba,0,0,M,1L-10L
Chandulal Sahu (Chandu Bhaiya),BJP,0,Graduate Professional,49,6805000,Mahasamund,1300000,1,M,10L-1Cr
Bauddh Kumar Kaushik,CGVP,0,Others,37,50000,Mahasamund,0,0,M,<1L
Dr Lata Markam,RPI(A),0,8th Pass,26,70000,Mahasamund,0,0,F,<1L
Dr. Anand Matwale (Guruji),LB,0,Graduate,38,1524114,Mahasamund,0,0,M,10L-1Cr
Kiran Kumar Dhruv,JMM,0,10th Pass,44,1875000,Mahasamund,60000,0,M,10L-1Cr
Moti Lal Choudhary,BSP,0,10th Pass,44,3665000,Mahasamund,600000,0,M,10L-1Cr
Shridhar Chandrakar,AD,0,Post Graduate,40,781000,Mahasamund,0,0,M,1L-10L
Vishu Deo Sai,BJP,0,10th Pass,45,2302000,Raigarh,0,1,M,10L-1Cr
Bahadur Singh Rathia,BSP,0,5th Pass,57,2330000,Raigarh,200000,0,M,10L-1Cr
Darshan Sidar,GGP,0,5th Pass,32,4526000,Raigarh,0,0,M,10L-1Cr
Hirdayaram Rathiya,INC,0,Post Graduate,43,2145000,Raigarh,308875,0,M,10L-1Cr
Meera Devi Singh Tirkey,CGVP,0,Graduate,39,640000,Raigarh,0,0,M,1L-10L
Shirachand Ekka,JMM,0,Others,29,874500,Raigarh,0,0,M,1L-10L
Ashok Tamrakar,JCGP,0,Others,56,5066096,Raipur,1712,0,M,10L-1Cr
Hargun Meghwani,Akhil Bhartiya Sindhu Samajwadi Party,0,Graduate,56,1725893,Raipur,706,0,M,10L-1Cr
Imrran Pasha,Loktantrik Samajwadi Party,0,Graduate,33,1000000,Raipur,0,0,M,1L-10L
Madhusudan Mishra,ABHM,1,Graduate,49,5064500,Raipur,0,0,M,10L-1Cr
P R Khunte,CGVP,0,Others,54,5075500,Raipur,0,0,M,10L-1Cr
Shailendra Banjare (Shaktiputra),SSBD,0,Graduate,34,2145000,Raipur,0,0,M,10L-1Cr
Shankar Lal Varandani,PPOI,0,10th Pass,45,650000,Raipur,0,0,M,1L-10L
Vidyadevi Sahu,BSP,0,Post Graduate,54,229901,Raipur,118124,0,F,1L-10L
Madhusudan Yadav,BJP,1,12th Pass,38,1165680,Rajnandgaon,0,0,M,10L-1Cr
Gangaram Nishad,EKSP,0,Null,48,0,Rajnandgaon,0,0,M,
Narad Khothaliya,CGVP,0,5th Pass,48,18300,Rajnandgaon,0,0,M,<1L
Praduman Netam,BSP,0,Null,32,0,Rajnandgaon,0,0,M,
Anoop Minj,JMM,0,Post Graduate,28,0,Surguja,0,0,M,
Bal Singh,CPM,0,Null,38,0,Surguja,0,0,M,
Bhupnath Singh Maravi,GGP,0,Others,43,90000,Surguja,0,0,M,<1L
Kumait  Bdo,JD(U),0,Post Graduate,64,250729,Surguja,0,0,M,1L-10L
Ramdeo Lakra,CGVP,0,12th Pass,32,0,Surguja,0,0,M,
Ramnath Cherwa,Shoshit Samaj Dal,0,Null,36,564000,Surguja,0,0,M,1L-10L
Somnath Bhagat,LJP,0,12th Pass,46,790000,Surguja,0,0,M,1L-10L
Patel Natubhai Gomanbhai,BJP,3,5th Pass,36,83494860,Dadra & Nagar Haveli,3426035,0,M,>1Cr
Bij Yohanbhai Bhadiyabhai,BSP,0,8th Pass,36,60635,Dadra & Nagar Haveli,0,0,M,<1L
Delkar Mohanbhai Sanjibhai,INC,0,12th Pass,46,94775558,Dadra & Nagar Haveli,0,0,M,>1Cr
Lalubhai Patel,BJP,0,10th Pass,53,36879385,Daman & Diu,2135939,1,M,>1Cr
Dahyabhai Vallabhbhai Patel,INC,0,12th Pass,64,115961703,Daman & Diu,150000,0,M,>1Cr
Rameshbhai D. Singh,SP,0,12th Pass,42,2740500,Daman & Diu,0,0,M,10L-1Cr
Tandel Gopalbhai Kalyanbhai,NCP,2,Null,55,70697264,Daman & Diu,13169373,0,M,>1Cr
Shripad Yesso Naik,BJP,0,Graduate,56,9897462,North Goa,912582,1,M,10L-1Cr
Christopher Fonseca,CPI,0,Post Graduate,55,3858563,North Goa,0,0,M,10L-1Cr
Jitendra Raghuraj Deshprabhu,NCP,3,Graduate,53,1063063407,North Goa,1965600,0,M,>1Cr
Raut Pandurang Dattaram,MAG,0,10th Pass,62,11192755,North Goa,1125445,0,M,>1Cr
Upendra Chandru Gaonkar,SHS,0,10th Pass,48,874900,North Goa,0,0,M,1L-10L
Cosme Francisco Caitano Sardinha,INC,0,Graduate Professional,62,29473470,South Goa,443500,1,M,>1Cr
Adv. Narendra Keshav Sawaikar,BJP,0,Graduate Professional,42,3483623,South Goa,0,0,M,10L-1Cr
Adv. Raju Mangeshkar Alias Rajendra Naik,CPI,0,Post Graduate,52,3114150,South Goa,99614,0,M,10L-1Cr
Matanhy Saldanha,UGDP,0,Post Graduate,60,36370000,South Goa,171960,0,M,>1Cr
Rohidas Harichandra Borkar,SGF,0,10th Pass,63,200000,South Goa,500000,0,M,1L-10L
Harin Pathak,BJP,2,Post Graduate,62,14578184,Ahmedabad East,22734,0,M,>1Cr
Bholabhai Valjibhai Patel,NCP,3,10th Pass,62,10157361,Ahmedabad East,0,0,M,>1Cr
Deepakbhai Ratilal Babariya,INC,2,Graduate Professional,57,45796700,Ahmedabad East,0,0,M,>1Cr
Hashrath Jayram Pagare,RSPS,0,10th Pass,61,3119,Ahmedabad East,0,0,M,<1L
Naranbhai Tulsidas Sengal,Loktantrik Samajwadi Party,0,10th Pass,58,25200,Ahmedabad East,20000,0,M,<1L
Pravin Rambhai Patel,MJP,0,Graduate,45,15650215,Ahmedabad East,1312000,0,M,>1Cr
Premhari Rameshchandra Sharma,NLHP,0,10th Pass,36,69000,Ahmedabad East,0,0,M,<1L
Ranjitsinh Ramshankersinh Rajput,IJP,0,12th Pass,37,5840000,Ahmedabad East,900000,0,M,10L-1Cr
Sanjitkumar Radhakrishnasinh Rajput,SP,0,12th Pass,29,990000,Ahmedabad East,121000,0,M,1L-10L
Sanjivbhai Indravan Bhatt,BNJD,1,10th Pass,38,155000,Ahmedabad East,0,0,M,1L-10L
Virubhai Naranbhai Vanzara,BSP,0,Literate,52,2506374,Ahmedabad East,1000000,0,M,10L-1Cr
Kiritbhai Premjibhai Solanki,BJP,0,Graduate Professional,59,26122439,Ahmedabad West,709488,1,M,>1Cr
Bhika Fula Savle,RPI(A),0,Literate,31,65000,Ahmedabad West,0,0,M,<1L
Ishwarbhai Dhanabhai Makwana,LJP,0,Graduate,58,4000000,Ahmedabad West,650000,0,M,10L-1Cr
Mohanbhai Karsanbhai Parmar,LPSP,1,Literate,53,2001000,Ahmedabad West,0,0,M,10L-1Cr
Narendrasinh Mansinh Sankhaliya,Loktantrik Samajwadi Party,1,Graduate,47,268467,Ahmedabad West,0,0,M,1L-10L
Pravinbhai Shankarlal Solanki,BSP,0,Null,44,8023840,Ahmedabad West,2671044,0,M,10L-1Cr
Shailesh Manharbhai Parmar,INC,0,Post Graduate,39,8285270,Ahmedabad West,277871,0,M,10L-1Cr
Vedubhai Kautikbhai Sirsath,IJP,0,Literate,36,0,Ahmedabad West,0,0,M,
Vijaykumar Manjibhai Vathel,All India Minorities Front,0,Null,37,88000,Ahmedabad West,0,0,M,<1L
Naranbhai Bhikhabhai Kachhadiya,BJP,0,5th Pass,53,4748283,Amreli,300000,1,M,10L-1Cr
Chandrakant Ramjibhai Baraiya,SP,4,8th Pass,41,528800,Amreli,0,0,M,1L-10L
Dhirubhai Bhanabhai Bharola,BSP,0,12th Pass,38,390500,Amreli,0,0,M,1L-10L
Jaysukhbhai Laljibhai Kaswala,Loktantrik Samajwadi Party,0,Literate,39,450000,Amreli,5000,0,M,1L-10L
Madhubhai Harjibhai Bhuva,NCP,0,Graduate,61,9395649,Amreli,0,0,M,10L-1Cr
Nilaben Virjibhai Thumar,INC,0,Graduate,49,12655811,Amreli,38218,0,F,>1Cr
Rameshbhai Shamjibhai Gohil,MJP,0,12th Pass,46,1019190,Amreli,0,0,M,10L-1Cr
Samatbhai Bhikhabhai Makwana,RKSP,0,Literate,37,70000,Amreli,0,0,M,<1L
Babubhai Becharbhai Parmar,NCP,0,8th Pass,65,145406,Anand,43000,0,M,1L-10L
Himmatbhai Mohanbhai Rathod,IJP,0,10th Pass,45,184500,Anand,0,0,M,1L-10L
Hitendrasinh Mohansinh Parmar,SP,0,10th Pass,54,9500,Anand,19502,0,M,<1L
Samirbhai Girishbhai Patel,SVPP,0,Graduate,32,2000,Anand,10000,0,M,<1L
Mukesh Bhairavdanji Gadhavi,INC,0,Graduate,47,22694764,Banaskantha,0,1,M,>1Cr
Amrutbhai Lakhubhai Fosi,MJP,1,Literate,49,9012700,Banaskantha,200000,0,M,10L-1Cr
Chetanbhai Kalabhai Solanki,BSP,0,Graduate,28,600021,Banaskantha,0,0,M,1L-10L
Haribhai Parthibhai Chaudhary,BJP,0,Graduate,54,10486787,Banaskantha,0,0,M,>1Cr
Hasmukhbhai Ravjibhai Kataria,Loktantrik Samajwadi Party,0,10th Pass,34,62000,Banaskantha,0,0,M,<1L
Ishvarbhai Mahadevbhai Lodha,Akhil Bharatiya Jan Sangh,0,Literate,57,286000,Banaskantha,0,0,M,1L-10L
Madhu Yaskhi Goud,INC,0,Post Graduate,50,119108338,BANASKANTHA : BYE-ELECTION ON 2-06-2013,15422084,0,M,>1Cr
Bigala Ganesh,TRS,0,Graduate Professional,39,38799851,BANASKANTHA : BYE-ELECTION ON 2-06-2013,422292,0,M,>1Cr
D.S.R. Chaudary,LSP,0,Null,52,12355847,BANASKANTHA : BYE-ELECTION ON 2-06-2013,2496889,0,M,>1Cr
Jala Bapu Reddy,BJP,0,Post Graduate,59,7089760,BANASKANTHA : BYE-ELECTION ON 2-06-2013,0,0,M,10L-1Cr
P. Vinay Kumar,PRAP,0,Post Graduate,51,183208378,BANASKANTHA : BYE-ELECTION ON 2-06-2013,68550,0,M,>1Cr
S Sujatha,Trilinga Praja Pragati Party,0,Null,43,0,BANASKANTHA : BYE-ELECTION ON 2-06-2013,4000,0,M,
V Sathyanarayana Murthy,PPOI,0,Doctorate,51,9435000,BANASKANTHA : BYE-ELECTION ON 2-06-2013,762315,0,M,10L-1Cr
Y Ramulu,BSP,0,Graduate,53,0,BANASKANTHA : BYE-ELECTION ON 2-06-2013,0,0,M,
Kamleshbhai Prabhubhai Chaudhary,JD(U),0,12th Pass,37,10000,Bardoli,0,0,M,<1L
Pravinbhai Bhulabhai Rathod,SP,0,Graduate,45,165000,Bardoli,0,0,M,1L-10L
Ranjanben Chimanbhai Gamit,BSP,0,Literate,38,154000,Bardoli,0,0,F,1L-10L
Riteshkumar Amarsinh Vasava,BJP,0,Graduate,32,458084,Bardoli,0,0,M,1L-10L
Sonaben Bhikhubhai Patel,CPI,0,Literate,73,302000,Bardoli,0,0,F,1L-10L
Vijaykumar Haribhai Patel,MJP,0,Graduate,39,3736000,Bardoli,85000,0,M,10L-1Cr
Mansukhbhai Dhanjibhai Vasava,BJP,0,Graduate,52,2441000,Bharuch,833462,1,M,10L-1Cr
Balvantsinh Vijaysinh Parmar,NCP,0,Literate,53,11417000,Bharuch,853000,0,M,>1Cr
Chhotubhai Amarsinhbhai Vasava,JD(U),13,10th Pass,62,3570000,Bharuch,0,0,M,10L-1Cr
Kanaksinh Mohansing Mangrola,SP,4,Graduate,58,36725000,Bharuch,0,0,M,>1Cr
Mehrunissa Valibhai Patel,LJP,0,Null,40,3840000,Bharuch,0,0,F,10L-1Cr
Narendrasinh Randhirsinh Vashi,Loktantrik Samajwadi Party,0,10th Pass,37,144000,Bharuch,0,0,M,1L-10L
Nareshkumar Bhagvanbhai Patel,MJP,0,Graduate,48,28173444,Bharuch,137588,0,M,>1Cr
Sanatkumar Rajaram Pandey,BSP,0,Literate,32,1557799,Bharuch,390000,0,M,10L-1Cr
Sureshbhai Gordhanbhai Vasava,Akhil Bharatiya Jan Sangh,0,5th Pass,40,619000,Bharuch,0,0,M,1L-10L
Umarji Ahmadbhai Ugharadar (Aziz Tankarvi),INC,0,Graduate,64,1027000,Bharuch,0,0,M,10L-1Cr
Rajendrasinh Ghanshyamsinh Rana,BJP,0,Graduate Professional,53,5508711,Bhavnagar,0,1,M,10L-1Cr
Atulbhai Harshadrai Pandya,BNJD,8,Graduate,46,388300,Bhavnagar,452000,0,M,1L-10L
Devjibhai Meghabhai Dabhi,Samajwadi Janata Party (Rashtriya),0,Literate,29,240600,Bhavnagar,0,0,M,1L-10L
Dinesh Nanubhai Saparia,LPSP,0,Graduate Professional,45,113700,Bhavnagar,15000,0,M,1L-10L
Gordhanbhai Pragjibhai Zadaphia,MJP,0,Post Graduate,54,8191743,Bhavnagar,2542721,0,M,10L-1Cr
Mahavirsinh Bhagirathsinh Gohil,INC,1,Graduate,52,10788757,Bhavnagar,0,0,M,>1Cr
Nanjibhai Madhabhai Gohil,RPI(A),3,Literate,38,1000,Bhavnagar,0,0,M,<1L
Tulsibhai Ramjibhai Yadav,SP,0,Graduate,67,4747992,Bhavnagar,0,0,M,10L-1Cr
Valjibhai Badhabhai Boricha,BSP,0,Graduate,51,770000,Bhavnagar,808170,0,M,1L-10L
Ramsinhbhai Patalbhai Rathava,BJP,0,10th Pass,57,10501785,Chhota Udaipur,6624317,1,M,>1Cr
Naranbhai Jemlabhai Rathwa,INC,0,Graduate,55,12702727,Chhota Udaipur,952838,0,M,>1Cr
Prakashbhai Somabhai Bhil,BSP,0,12th Pass,36,55000,Chhota Udaipur,0,0,M,<1L
Prabhaben Kishoresinh Taviad,INC,0,Graduate Professional,54,6823687,Dahod,0,1,F,10L-1Cr
Dineshbhai Nagjibhai Parmar,IJP,0,Post Graduate,28,10000,Dahod,0,0,M,<1L
Kalsingbhai Tajsinhbhai Meda,NCP,0,Post Graduate,57,2790000,Dahod,0,0,M,10L-1Cr
Kamalsinh Chhagansinh Munia,SP,0,Post Graduate,61,2152500,Dahod,486491,0,M,10L-1Cr
Ramsingbhai Nanjibhai Kalara,BSP,0,12th Pass,37,6781343,Dahod,2522782,0,M,10L-1Cr
Singjibhai Jaljibhai Katara,CPM,0,Literate,62,80214,Dahod,0,0,M,<1L
Somjibhai Punjabhai Damor,BJP,0,Graduate,70,9871511,Dahod,0,0,M,10L-1Cr
Lalkrishna Kishanchand Advani,BJP,1,Graduate Professional,81,35543172,Gandhinagar,0,0,M,>1Cr
Ashokkumar Ishwarbhai Patel,BNJD,0,Literate,33,377000,Gandhinagar,0,0,M,1L-10L
Fatmabibi Faruqbhai Memon,IJP,0,Literate,42,1450000,Gandhinagar,385000,0,F,10L-1Cr
Firoz Ahmed Takiyul Rehman Dehlvi,All India Minorities Front,0,Graduate,41,273675,Gandhinagar,0,0,M,1L-10L
Rakeshkumar Hawaldar Pandey,BSP,0,Graduate Professional,31,7330000,Gandhinagar,175000,0,M,10L-1Cr
Samsuddin Nasruddin Khalifa,Loktantrik Samajwadi Party,0,5th Pass,46,229538,Gandhinagar,0,0,M,1L-10L
Sunilbhai Manubhai Trivedi,MJP,1,Graduate,47,2963000,Gandhinagar,465000,0,M,10L-1Cr
Sureshkumar Chaturdas Patel,INC,0,10th Pass,57,29390009,Gandhinagar,5649035,0,M,>1Cr
Vikrambhai Arjanbhai Madam,INC,0,Graduate,51,15590109,Jamnagar,400000,1,M,>1Cr
Chandubha Manubha Vadher,MJP,0,Literate,50,2108100,Jamnagar,100000,0,M,10L-1Cr
Dineshbhai Kalabhai Chauhan,RPI(A),0,Literate,63,150000,Jamnagar,0,0,M,1L-10L
Hitendrasinh Jayvantsinh Jadeja,RKSP,0,10th Pass,32,220000,Jamnagar,0,0,M,1L-10L
Jaysukhbhai Trikambhai Chavda,BSP,0,Literate,38,2100000,Jamnagar,583300,0,M,10L-1Cr
Manharbhai Kacharabhai Rathod,RSP(S),0,10th Pass,31,676500,Jamnagar,0,0,M,1L-10L
Rameshbhai Devrajbhai Mungra,BJP,0,10th Pass,55,2454878,Jamnagar,0,0,M,10L-1Cr
Vasantbhai Manibhai Sanghavi,Akhil Bharatiya Jan Sangh,0,Graduate Professional,74,4066689,Jamnagar,0,0,M,10L-1Cr
Dinubhai Boghabhai Solanki,BJP,1,Graduate,51,19460865,Junagadh,5945896,0,M,>1Cr
Ashokbhai Bhimjibhai Bhoot,RSP(S),2,8th Pass,56,13092500,Junagadh,0,0,M,>1Cr
Brijesh Rambhai Dangar,RWS,1,8th Pass,31,15000,Junagadh,0,0,M,<1L
Chandrasinh Hamirbhai Mahida,RPI(A),0,Literate,50,611500,Junagadh,10023,0,M,1L-10L
Chandulal Bhanubhai Ghaduk,MJP,0,Literate,42,2432000,Junagadh,150000,0,M,10L-1Cr
Hetalkumar Narottambhai Thumber,BNJD,1,12th Pass,30,123000,Junagadh,0,0,M,1L-10L
Husainkhan Sarverkhan Pathan,SP,0,Literate,60,2401870,Junagadh,0,0,M,10L-1Cr
Jasubhai Dhanabhai Barad,INC,2,Graduate,54,25678358,Junagadh,2468220,0,M,>1Cr
Vallbhabhai Rambhai Kunjadia,Akhil Bharatiya Manav Seva Dal,0,Graduate,46,2965000,Junagadh,14000,0,M,10L-1Cr
Poonamben Veljibhai Jat,BJP,1,12th Pass,37,524126,Kachchh,0,0,M,1L-10L
Bharmalbhai Naranbhai Dungariya,SP,0,5th Pass,51,863600,Kachchh,0,0,M,1L-10L
Mohanbhai Laghabhai Namori,BSP,0,Literate,55,392079,Kachchh,0,0,M,1L-10L
Motilal Devjibhai Chauhan,LPSP,0,Null,54,0,Kachchh,0,0,M,
Mukeshbhai Mandanbhai Parmar,IJP,0,12th Pass,27,55000,Kachchh,0,0,M,<1L
Ramesh Gangji Balia,RKSP,0,8th Pass,26,15000,Kachchh,80000,0,M,<1L
Tinaben Maganbhai Parmar,BNJD,0,Post Graduate,26,81000,Kachchh,0,0,F,<1L
Valjibhai Poonamchandra Danicha,INC,1,Post Graduate,62,2021256,Kachchh,503438,0,M,10L-1Cr
Dinsha Zavarbhai Patel,INC,0,10th Pass,71,23065019,Kheda,3480352,1,M,>1Cr
Devusinh Jesingbhai Chauhan,BJP,0,10th Pass,44,6414212,Kheda,1448250,0,M,10L-1Cr
Hemalsinh Dajibhai Dodiya,MJP,0,10th Pass,40,2117024,Kheda,29889,0,M,10L-1Cr
Ratansinh Udesinh Chauhan,BSP,0,10th Pass,61,270250,Kheda,0,0,M,1L-10L
Jayshreeben Kanubhai Patel,BJP,0,10th Pass,50,3343068,Mahesana,263528,1,F,10L-1Cr
Amarsinh Ramsinh Thakore,MJP,0,12th Pass,40,504500,Mahesana,0,0,M,1L-10L
Babubhai Ishwarbhai Prajapati,VHS,0,12th Pass,52,6530575,Mahesana,0,0,M,10L-1Cr
Jivabhai Ambalal Patel,INC,0,10th Pass,70,57097000,Mahesana,0,0,M,>1Cr
Pravinkumar Chunilal Patel,BRP,0,Post Graduate,50,6767384,Mahesana,0,0,M,10L-1Cr
Rudatsinh Vanrajsinh Zala,BSP,0,8th Pass,27,850000,Mahesana,0,0,M,1L-10L
Chandrakant Raghunath Patil,BJP,6,10th Pass,54,242083697,Navsari,42208512,0,M,>1Cr
Azadkumar Chaturbhai Patel,SVPP,0,Post Graduate,33,928600,Navsari,0,0,M,1L-10L
Dhansukhbhai Bhagvatiprasad Rajput,INC,1,12th Pass,51,131294456,Navsari,0,0,M,>1Cr
Gangaprasad Lalanbhai Yadav,MJP,2,Illiterate,55,6342094,Navsari,0,0,M,10L-1Cr
Jaswantbhai Dalpatbhai Panchal,RPI(A),0,Graduate,49,48511,Navsari,145000,0,M,<1L
Shaileshbhai Bisweshwar Srivastav,BSP,1,Literate,37,1098000,Navsari,0,0,M,10L-1Cr
Yogeshkumar Thakorebhai Nayak,NCP,0,Null,54,8791442,Navsari,825000,0,M,10L-1Cr
Prabhatsinh Pratapsinh Chauhan,BJP,3,10th Pass,67,7255000,Panchmahal,0,0,M,10L-1Cr
Kalim Abdullatif Shekh,LJP,0,8th Pass,42,76000,Panchmahal,0,0,M,<1L
Mukhtyar Mohammad Mansuri,Akhil Bharatiya Manav Seva Dal,0,Literate,49,500000,Panchmahal,0,0,M,1L-10L
Prakashkumar Maneklal Barot,BSP,0,Graduate,53,5278000,Panchmahal,0,0,M,10L-1Cr
Shankarsinh Laxmansinh Vaghela,INC,0,Post Graduate,68,14445010,Panchmahal,0,0,M,>1Cr
Jagdishbhai Motiji Thakore,INC,0,10th Pass,51,3389298,Patan,1158381,1,M,10L-1Cr
Bhavsinhbhai Dahyabhai Rathod,BJP,1,Literate,68,3775000,Patan,5419863,0,M,10L-1Cr
Bhurabhai Motibhai Raval,BNJD,0,5th Pass,45,650000,Patan,0,0,M,1L-10L
Mehboobkhan Rehmatkhan Khokhar,BSP,0,12th Pass,50,1140000,Patan,0,0,M,10L-1Cr
Mohammadbhai Sarifbhai Patawat,SP,0,Literate,50,2542000,Patan,694000,0,M,10L-1Cr
Naranbhai Pragdasbhai Patel,MJP,0,Graduate,55,54698891,Patan,500000,0,M,>1Cr
Sanjaybhai Maganbhai Barot,NCP,0,Graduate,50,4679000,Patan,0,0,M,10L-1Cr
Vitthalbhai Hansrajbhai Radadiya,INC,16,Graduate,51,20675722,Porbandar,0,0,M,>1Cr
Mansukhbhai Samjibhai Khachariya,BJP,0,12th Pass,49,42360598,Porbandar,30000000,0,M,>1Cr
Mehulkumar Karsanbhai Chandravadiya,BSP,3,Graduate,25,6580755,Porbandar,101800,0,M,10L-1Cr
Nathabhai Jivabhai Jadeja,IJP,1,Literate,35,203000,Porbandar,5350,0,M,1L-10L
Suresh Kumar Shetkar,INC,0,Graduate,46,3011999,PORBANDAR : BYE-ELECTION ON 2-06-2013,0,0,M,10L-1Cr
Baganna,BJP,0,Others,66,1673500,PORBANDAR : BYE-ELECTION ON 2-06-2013,0,0,M,10L-1Cr
Benjamin Raju,IJP,0,Post Graduate,39,200000,PORBANDAR : BYE-ELECTION ON 2-06-2013,0,0,M,1L-10L
M. Ravindra Reddy,LSP,0,Post Graduate,39,1290000,PORBANDAR : BYE-ELECTION ON 2-06-2013,0,0,M,10L-1Cr
M. Shiva Kumar,PRAP,2,5th Pass,43,29424500,PORBANDAR : BYE-ELECTION ON 2-06-2013,500734,0,M,>1Cr
M.Vishnu Mudiraj,BSP,0,10th Pass,35,1705000,PORBANDAR : BYE-ELECTION ON 2-06-2013,1400000,0,M,10L-1Cr
Syed Yousuf Ali,TRS,1,12th Pass,54,32900000,PORBANDAR : BYE-ELECTION ON 2-06-2013,0,0,M,>1Cr
Kunvarjibhai Mohanbhai Bavaliya,INC,3,Graduate,54,4560852,Rajkot,599799,0,M,10L-1Cr
Alpeshbhai Keshubhai Vekariya,MJP,0,Graduate,32,1008903,Rajkot,2079532,0,M,10L-1Cr
Babudas Chhagandas Kubawat,Akhil Bharatiya Jan Sangh,0,10th Pass,63,47055000,Rajkot,0,0,M,>1Cr
Babulal Devjibhai Dhava,LJP,0,Literate,42,1324860,Rajkot,0,0,M,10L-1Cr
Dalichandbhai Lirabhai Dhedhi,BSP,1,8th Pass,54,2604000,Rajkot,200000,0,M,10L-1Cr
Gokalbhai Khodabhai Parmar,LPSP,0,10th Pass,53,2075,Rajkot,0,0,M,<1L
Jasvantbhai Ranchhodbhai Sabhaya,SP,0,8th Pass,38,487800,Rajkot,0,0,M,1L-10L
Kiranbhai Valjibhai Bhalodia,BJP,0,Graduate,56,70341614,Rajkot,0,0,M,>1Cr
Narendrasinh Tapubha Jadeja,RKSP,0,10th Pass,35,360000,Rajkot,0,0,M,1L-10L
Satubha Amarsang Jadeja,NSCP,0,Literate,41,1586690,Rajkot,870190,0,M,10L-1Cr
Sudhirbhai Revashankar Joshi,CPI(ML)(L),0,Graduate,67,2157050,Rajkot,0,0,M,10L-1Cr
Mahendrasinh Pruthvisinh Chauhan,BJP,0,Graduate Professional,55,8842370,Sabarkantha,161190,1,M,10L-1Cr
Dashrath Chandulal Sinhali,CPI(ML)(L),0,Graduate,55,1892600,Sabarkantha,0,0,M,10L-1Cr
Madhusudan Devram Mistry,INC,0,Post Graduate,63,6306522,Sabarkantha,223390,0,M,10L-1Cr
Maulana Riyaz  Nathhumiya Kadri,SP,1,Literate,46,322757,Sabarkantha,0,0,M,1L-10L
Minaba Dipsinh Parmar,IJP,0,Literate,30,440000,Sabarkantha,0,0,F,1L-10L
Vakimsinh Laxmansinh Ramlavat,BSP,0,12th Pass,31,125000,Sabarkantha,54000,0,M,1L-10L
Darsnaben Vikrambhai Jardos,BJP,1,Graduate,48,9021338,Surat,395000,0,M,10L-1Cr
Ajaykumar Dineshkumar Patel,BSP,0,Post Graduate,33,624821,Surat,369000,0,M,1L-10L
Dhirubhai Haribhai Gajera,INC,1,8th Pass,58,42921887,Surat,0,0,M,>1Cr
Fakirbhai Chhotubhai Chauhan,MJP,0,10th Pass,70,15700623,Surat,0,0,M,>1Cr
Kanubhai Haribhai Patel,Loktantrik Samajwadi Party,0,10th Pass,48,55000,Surat,0,0,M,<1L
Mukeshbhai Lavjibhai (Prajapati) Ambaliya,LPSP,0,Literate,32,68000,Surat,0,0,M,<1L
Nareshbhai Nanjibhai Bathwar,RPI(A),0,Graduate,53,0,Surat,0,0,M,
Shashikant Arjunbhai Kapure,RPIE,0,10th Pass,32,2187000,Surat,0,0,M,10L-1Cr
