Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Devender Kumar,SP,0,Graduate,54,1662455,Sikar,375000,0,M,10L-1Cr
Dp Kumawat,Rajasthan Vikas Party,0,12th Pass,48,741353,Sikar,0,0,M,1L-10L
Hem Chand Rgarwal,BCP,0,12th Pass,38,189000,Sikar,0,0,M,1L-10L
Makhan Lal Saini,JGP,0,Post Graduate,31,600000,Sikar,0,0,M,1L-10L
Sita Devi,BHBP,0,Literate,41,1077795,Sikar,0,0,F,10L-1Cr
Subhash Maharia,BJP,0,Graduate,52,23383778,Sikar,5400170,0,M,>1Cr
Bhag Chand Jain,FCI,0,10th Pass,67,2624000,Tonk-Sawai Madhopur,0,0,M,10L-1Cr
Kalu Ram,Rajasthan Vikas Party,0,8th Pass,47,2218000,Tonk-Sawai Madhopur,0,0,M,10L-1Cr
Kirodi,BJP,0,Graduate,76,1016668,Tonk-Sawai Madhopur,0,0,M,10L-1Cr
Krishan Pal Singh,SP,0,Graduate,43,18818000,Tonk-Sawai Madhopur,1150000,0,M,>1Cr
Om Prasash,JKNPP,0,10th Pass,47,16785000,Tonk-Sawai Madhopur,0,0,M,>1Cr
Sayar,RDSD,0,8th Pass,48,9630000,Tonk-Sawai Madhopur,400000,0,M,10L-1Cr
Surendra Vyas,BSP,2,Graduate Professional,65,2840500,Tonk-Sawai Madhopur,0,0,M,10L-1Cr
Raghuveer Singh,INC,0,Graduate,48,6753883,Udaipur,1750000,1,M,10L-1Cr
Baksi Ram Meena,BSP,0,Graduate,74,1763000,Udaipur,0,0,M,10L-1Cr
Gotam Lal Meena,CPI(ML)(L),0,Null,42,48300,Udaipur,0,0,M,<1L
Lalji Bhai Meena,JGP,0,10th Pass,64,6365000,Udaipur,0,0,M,10L-1Cr
Mahaveer Bhagora,BJP,1,Post Graduate,61,6934001,Udaipur,0,0,M,10L-1Cr
Meghraj,CPI,0,Others,70,435000,Udaipur,200000,0,M,1L-10L
Om Prakash,Akhil Bharatiya Congress Dal (Ambedkar),1,8th Pass,45,7009000,Udaipur,0,0,M,10L-1Cr
Shakuntla Dhanka,SP,0,10th Pass,40,314500,Udaipur,0,0,F,1L-10L
Prem Das Rai,SDF,0,Post Graduate,54,18503294,Sikkim,841835,1,M,>1Cr
Bhim Subba,SJEP,0,8th Pass,64,4836000,Sikkim,0,0,M,10L-1Cr
Kharananda Upreti,INC,0,Graduate Professional,59,17252061,Sikkim,0,0,M,>1Cr
Nar Bahadur Khatiwada,SGPP,0,Graduate Professional,68,24726123,Sikkim,2300000,0,M,>1Cr
Padam Bdr. Chettri,BJP,0,Post Graduate,32,17704000,Sikkim,1520000,0,M,>1Cr
Tara Kr. Pradhan,SHRP,3,12th Pass,36,620000,Sikkim,200000,0,M,1L-10L
Jagathrakshakan,DMK,0,10th Pass,61,59106399,Arakkonam,0,1,M,>1Cr
Annamalai S C,Akila India Vallalar Peravai,0,Literate,53,140000,Arakkonam,0,0,M,1L-10L
Isaac Jeba Kumar,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Post Graduate,43,109825000,Arakkonam,7001100,0,M,>1Cr
Manavaulan K,SP,0,10th Pass,54,30000,Arakkonam,0,0,M,<1L
Mary John,BSP,0,Post Graduate,61,10441915,Arakkonam,475486,0,M,>1Cr
Palani W B,PNK,0,Graduate,40,510250,Arakkonam,1186038,0,M,1L-10L
Passamighu Annan Venkatesnor Ta V,Anaithindia Dravidar Samudaya Munnetra Kazhag,0,Post Graduate,53,2300000,Arakkonam,7190,0,M,10L-1Cr
Sankar S,DMDK,2,Graduate Professional,40,17821232,Arakkonam,250000,0,M,>1Cr
Shanmugam K,JD(U),0,8th Pass,57,800000,Arakkonam,0,0,M,1L-10L
Srinivasan K,LJP,0,Null,32,0,Arakkonam,0,0,M,
Velu R,PMK,0,Doctorate,68,13437568,Arakkonam,0,0,M,>1Cr
Krishnasamy M,INC,0,Graduate Professional,68,62385765,Arani,16792067,1,M,>1Cr
Ariraj T.V,SP,0,10th Pass,50,0,Arani,0,0,M,
Mohanam Ra,DMDK,0,Graduate,46,4831600,Arani,0,0,M,10L-1Cr
Saravanakumar K,PNK,0,Graduate,42,910000,Arani,0,0,M,1L-10L
Shankar A,BSP,0,Null,47,2995200,Arani,0,0,M,10L-1Cr
Subramaniyan N,ADMK,0,5th Pass,50,2960000,Arani,0,0,M,10L-1Cr
Gangadurai.G,JJ,0,Null,40,84000,Chennai Central,0,0,M,<1L
Hyder Ali.S,MAMAK,2,10th Pass,51,2125367,Chennai Central,0,0,M,10L-1Cr
Nahamani.J,JMM,0,Post Graduate,54,1030000,Chennai Central,0,0,M,10L-1Cr
Raaj Ramchand,SHS,0,Graduate,41,5077000,Chennai Central,0,0,M,10L-1Cr
Ramana Reddy.K.V,KDC,0,Graduate,56,0,Chennai Central,0,0,M,
Thomas.T.Jacob,YSP,0,Graduate Professional,37,1065000,Chennai Central,0,0,M,10L-1Cr
Vasu.S,SP,0,Graduate,59,725000,Chennai Central,0,0,M,1L-10L
